time_s,level_rise_m,level_rise_cm
47.28,0.00086,0.086
47.35,0.00086,0.086
47.41,0.00087,0.087
47.48,0.00087,0.087
47.55,0.00087,0.087
47.62,0.00087,0.087
47.69,0.00088,0.088
47.75,0.00088,0.088
47.82,0.00088,0.088
47.89,0.00088,0.088
47.96,0.00088,0.088
48.02,0.00089,0.089
48.09,0.00089,0.089
48.16,0.00089,0.089
48.23,0.00089,0.089
48.30,0.00090,0.090
48.36,0.00090,0.090
48.43,0.00090,0.090
48.50,0.00090,0.090
48.57,0.00090,0.090
48.63,0.00091,0.091
48.70,0.00091,0.091
48.77,0.00091,0.091
48.84,0.00091,0.091
48.90,0.00092,0.092
48.97,0.00092,0.092
49.04,0.00092,0.092
49.11,0.00092,0.092
49.18,0.00092,0.092
49.24,0.00093,0.093
49.31,0.00093,0.093
49.38,0.00093,0.093
49.45,0.00093,0.093
49.51,0.00094,0.094
49.58,0.00094,0.094
49.65,0.00094,0.094
49.72,0.00094,0.094
49.79,0.00094,0.094
49.85,0.00095,0.095
49.92,0.00095,0.095
49.99,0.00095,0.095
50.06,0.00095,0.095
50.12,0.00096,0.096
50.19,0.00096,0.096
50.26,0.00096,0.096
50.33,0.00096,0.096
50.39,0.00096,0.096
50.46,0.00097,0.097
50.53,0.00097,0.097
50.60,0.00097,0.097
50.67,0.00097,0.097
50.73,0.00098,0.098
50.80,0.00098,0.098
50.87,0.00098,0.098
50.94,0.00098,0.098
51.00,0.00098,0.098
51.07,0.00099,0.099
51.14,0.00099,0.099
51.21,0.00099,0.099
51.28,0.00099,0.099
51.34,0.00100,0.100
51.41,0.00100,0.100
51.48,0.00100,0.100
51.55,0.00100,0.100
51.61,0.00100,0.100
51.68,0.00101,0.101
51.75,0.00101,0.101
51.82,0.00101,0.101
51.88,0.00101,0.101
51.95,0.00102,0.102
52.02,0.00102,0.102
52.09,0.00102,0.102
52.16,0.00102,0.102
52.22,0.00103,0.103
52.29,0.00103,0.103
52.36,0.00103,0.103
52.43,0.00103,0.103
52.49,0.00103,0.103
52.56,0.00104,0.104
52.63,0.00104,0.104
52.70,0.00104,0.104
52.77,0.00104,0.104
52.83,0.00105,0.105
52.90,0.00105,0.105
52.97,0.00105,0.105
53.04,0.00105,0.105
53.10,0.00106,0.106
53.17,0.00106,0.106
53.24,0.00106,0.106
53.31,0.00106,0.106
53.38,0.00106,0.106
53.44,0.00107,0.107
53.51,0.00107,0.107
53.58,0.00107,0.107
53.65,0.00107,0.107
53.71,0.00108,0.108
53.78,0.00108,0.108
53.85,0.00108,0.108
53.92,0.00108,0.108
53.98,0.00109,0.109
54.05,0.00109,0.109
54.12,0.00109,0.109
54.19,0.00109,0.109
54.26,0.00109,0.109
54.32,0.00110,0.110
54.39,0.00110,0.110
54.46,0.00110,0.110
54.52,0.00110,0.110
54.59,0.00111,0.111
54.66,0.00111,0.111
54.72,0.00111,0.111
54.79,0.00111,0.111
54.86,0.00111,0.111
54.92,0.00112,0.112
54.99,0.00112,0.112
55.06,0.00112,0.112
55.12,0.00112,0.112
55.19,0.00113,0.113
55.25,0.00113,0.113
55.32,0.00113,0.113
55.38,0.00113,0.113
55.45,0.00114,0.114
55.51,0.00114,0.114
55.58,0.00114,0.114
55.64,0.00114,0.114
55.71,0.00114,0.114
