elevation_m_navd88,volume_m3,area_m2
26.568676044713314,131937.4644294335,311227.9494142477
26.59868556957149,141524.21544914905,353105.7802879717
26.628695094429666,152366.21445876555,369473.3521548544
26.658704619287846,163698.12481207546,385701.44748260727
26.688714144146022,175519.0611599535,402103.88848427235
26.7187236690042,187831.80213657764,418520.2771398505
26.74873319386238,200637.64171374642,434957.587276298
26.778742718720554,213941.6604333637,451750.56258752657
26.808752243578734,227746.20106542265,468306.4277822345
26.83876176843691,242051.78119864274,485127.29840128904
26.868771293295087,256862.3099899312,501941.19519338704
26.898780818153266,272177.8419223111,518838.777908963
26.928790343011443,289086.13055192574,574734.0009652325
26.958799867869622,306561.0971047783,589692.8597869041
26.9888093927278,324482.8516885425,604693.5615703147
27.018818917585975,342854.9629412313,619498.9961989435
27.048828442444155,361673.80774180876,634555.488598006
27.07883796730233,380941.70161875646,649472.5044579387
27.108847492160507,400658.5628475398,664263.9914326546
27.138857017018687,420820.8500316573,679313.5100047606
27.168866541876863,441427.20109553175,694104.9969794764
27.198876066735043,462474.12912568473,708617.5308759327
27.22888559159322,484446.04268047685,743193.7649262114
27.2588951164514,506897.18890643533,753096.5992044276
27.288904641309575,529641.9986268898,762720.4804043841
27.31891416616775,552677.3663095236,772365.2830852101
27.34892369102593,575995.0650178491,781598.6299756033
27.378933215884107,599589.7009325796,790894.7413086048
27.408942740742283,623457.896106283,799709.6585816086
27.438952265600463,647587.3918587624,808419.9684502649
27.46896179045864,671973.9929972393,816725.7963554448
27.49897131531682,696608.8732719719,825052.5457414942
27.528980840174995,721645.0210118182,841719.9921675059
27.55899036503317,747011.0634565202,848756.5835666045
27.58899988989135,772586.811057125,855583.9601570086
27.619009414749527,798361.4761750589,862250.9387274133
27.649018939607707,824334.6774291605,868666.8595273843
27.679028464465883,850497.6430527108,875033.9635386599
27.70903798932406,876849.5558003637,881177.9050873278
27.73904751418224,903377.6666447141,886833.6787490414
27.769057039040415,930069.117592311,892112.8657551046
27.79906656389859,956920.8575938611,897419.9480689936
27.82907608875677,984014.2842858719,908529.2544106827
27.859085613614948,1011314.6374996074,910942.1985376283
27.889095138473127,1038688.4338284784,913341.1950106609
27.919104663331304,1066130.1160041292,915489.13371326
27.949114188189483,1093635.1074526191,917664.967723685
27.97912371304766,1121206.459223242,919708.2990219366
28.009133237905836,1148837.088522995,921737.6826662752
28.039142762764016,1176527.3222500167,923634.5635984406
28.06915228762219,1204272.6927964133,925364.0726836502
28.099161812480368,1232067.207029644,927114.5032497293
28.129171337338548,1259935.9271403332,931340.6423853623
28.159180862196724,1287900.7553037668,932323.9519862274
28.189190387054904,1315891.9532503798,933258.4447983971
28.21919991191308,1343911.373402957,934088.3302062195
28.249209436771256,1371956.5095424366,934883.3464792594
28.279218961629436,1400022.349230693,935622.5721366474
28.309228486487612,1428111.7255849277,936319.9548322964
28.339238011345792,1456216.6840837682,936787.2012383812
28.369247536203968,1484335.4812704755,937142.8664131622
28.399257061062144,1512462.7778087861,937338.1335679439
28.429266585920324,1540593.561260575,937742.6155314205
28.4592761107785,1568735.3502830295,937742.6155314205
28.489285635636676,1596877.2482715303,937742.6155314205
28.519295160494856,1625017.2938372456,937742.6155314205
28.549304685353032,1653159.0828597,937742.6155314205
28.579314210211212,1681299.0194593694,937742.6155314205
28.60932373506939,1709441.2443460086,937742.6155314205
28.639333259927568,1737583.0333684632,937742.6155314205
28.669342784785744,1765723.0789341785,937742.6155314205
28.69935230964392,1793864.867956633,937742.6155314205
28.7293618345021,1822006.7659451338,937742.6155314205
28.759371359360276,1862757.5610030612,1375671.0530911833
28.789380884218453,1904052.2055975487,1376340.5404790062
28.819390409076632,1945361.669574319,1376682.2579998744
28.84939993393481,1986680.068766877,1377051.8708285685
28.87940945879299,2028010.8900887014,1377414.5098303058
28.909418983651165,2069350.210762129,1377770.175005087
28.939428508509344,2110702.6073611,1378111.8925259549
28.96943803336752,2152065.246768413,1378404.7932581275
28.999447558225697,2193432.8986138515,1378697.6939903
29.029457083083877,2234811.8829280944,1378941.7779337773
29.059466607942053,2276199.1486618477,1379262.5739737758
29.08947613280023,2317595.131679297,1379729.8203798607
29.11948565765841,2359009.203060414,1380350.4909789884
29.149495182516585,2400455.310459113,1381766.1778511559
29.17950470737476,2441944.1325479206,1383460.8178015829
29.20951423223294,2483490.270777026,1385183.353059836
29.239523757091117,2525076.944375317,1386543.2493163517
29.269533281949297,2566705.2430032543,1387659.06162939
29.299542806807473,2608364.052124126,1388572.6329606902
29.329552331665653,2650046.397910976,1389472.2566380776
29.35956185652383,2691755.331413097,1390141.7440259005
29.389571381382005,2733481.9174147025,1390706.6240093764
29.419580906240185,2775223.104866498,1391285.451646765
29.44959043109836,2816983.2524103313,1391752.6980528499
29.479599955956537,2858756.6938118003,1392171.1276702392
29.509609480814717,2900541.031817889,1392673.2432111066
29.539619005672893,2942341.7147309068,1393098.6466554524
29.569628530531073,2984151.7687238976,1393503.1286189288
29.59963805538925,3025976.860031263,1393900.6367554488
29.62964758024743,3067813.283807433,1394263.2757571863
29.659657105105605,3109657.553138929,1394598.0194510978
29.68966662996378,3151514.680463876,1394876.9725293575
29.71967615482196,3193378.1278195023,1395128.0302997911
29.749685679680137,3235249.2027983624,1395441.8525128332
29.779695204538314,3277130.08472138,1395644.0934945715
29.809704729396493,3319014.0176936905,1395853.308303266
29.83971425425467,3360907.7576101595,1396146.2090354387
29.869723779112846,3402808.253421492,1396264.764093699
29.899733303971026,3444710.710621656,1396460.0312484808
29.929742828829202,3486622.538901793,1396683.1937110885
29.95975235368738,3528540.033416332,1396843.5917310878
29.989761878545558,3570457.7458629636,1396927.2776545656
30.019771403403738,3612381.1245439975,1397024.9112319564
30.049780928261914,3654307.9901385093,1397150.4401171734
30.07979045312009,3696235.945393483,1397227.1522136948
30.10979997797827,3738167.387561935,1397268.9951754336
30.139809502836446,3780097.086273648,1397289.9166563032
30.169819027694622,3822031.1436272087,1397345.707271955
30.199828552552802,3863966.072709139,1397387.550233694
30.229838077410978,3905900.5659268848,1397422.4193684764
30.259847602269158,3947838.1101939236,1397450.3146763025
30.289857127127334,3989776.962053517,1397492.1576380413
30.319866651985514,4031712.7628638167,1397513.0791189107
30.34987617684369,4073652.48645178,1397527.0267728239
30.379885701701866,4115593.0817681123,1397540.9744267368
30.409895226560046,4157531.497763521,1397561.8959076062
30.439904751418222,4199473.400672408,1397589.791215432
30.4699142762764,4241412.688396186,1397596.7650423886
30.499923801134578,4283355.463033442,1397610.7126963018
30.529933325992754,4325298.237670698,1397617.6865232582
30.55994285085093,4367237.525394477,1397617.6865232582
30.58995237570911,4409180.735895918,1397617.6865232582
30.619961900567287,4451123.0746689895,1397617.6865232582
30.649971425425466,4493064.105849506,1397617.6865232582
30.679980950283642,4535006.880486763,1397617.6865232582
30.709990475141822,4576946.604074726,1397617.6865232582
30.74,4618889.378711983,1397617.6865232582
