z_m,volume_m3,area_ha
25.997580580974944,22832.532495424944,8.17681210648484
26.02756780116402,25424.793872140486,9.112699684045834
26.057555021353103,28300.392507880526,10.073693038650191
26.087542241542184,31468.845905742415,11.07164767612395
26.117529461731262,34939.84353086517,12.098892386814967
26.147516681920344,38722.14012402278,13.160308849592786
26.177503902109425,42826.43478887603,14.234975583587936
26.207491122298503,47258.96923675854,15.344511452365536
26.237478342487584,52031.49817990361,16.491705986708187
26.267465562676666,57154.141839851625,17.67098012505069
26.297452782865744,62700.05048548896,20.10763526364839
26.327440003054825,68903.77353125071,21.263895773034477
26.357427223243906,75456.65784091118,22.448051590246525
26.387414443432984,82367.72716517093,23.64754982676285
26.417401663622066,89638.62961547864,24.847048063279175
26.447388883811147,97274.3776299593,26.093968323099638
26.477376104000225,105278.72372682874,27.3039273000507
26.507363324189306,113649.74056914491,28.538294671349476
26.537350544378388,122395.25328110017,29.787307079256884
26.567337764567466,131521.10516692177,31.067701708468498
26.597324984756547,141043.81139298613,35.25199788236266
26.627312204945625,151855.91284367783,36.86643882279015
26.657299425134706,163156.4273549278,38.49482741713063
26.687286645323788,174945.16423615516,40.13507151729714
26.717273865512865,187225.77384990748,41.76485487702892
26.747261085701947,199997.86119426732,43.40509897719543
26.77724830589103,213267.6100923562,45.08997556988348
26.807235526080106,227036.83210469215,46.74277255857167
26.837222746269187,241305.71792185603,48.42485962047712
26.86720996645827,256079.7975706922,50.10694668238258
26.897197186647347,271357.1096623692,51.79740233663582
26.927184406836428,288163.70572937216,57.39668800000185
26.95717162702551,305602.1686567493,58.90094247451681
26.987158847214587,323485.7851243452,60.384972850857935
27.01714606740367,341818.2599777306,61.866911079112114
27.04713328759275,360598.4763149318,63.38302105945311
27.077120507781828,379826.24344536813,64.86007760883774
27.10710772797091,399503.767931475,66.34271321978757
27.13709494815999,419624.45732745755,67.84208601543298
27.16708216834907,440188.7747390122,69.31495826864372
27.19706938853815,461195.03119242284,70.77179071985454
27.22705660872723,483087.2905674463,74.25312513653448
27.25704382891631,505503.02282839135,75.23992165087785
27.28703104910539,528213.9985915022,76.20998098052566
27.317018269294472,551213.625410984,77.17236910052131
27.34700548948355,574495.9101542961,78.1054671472997
27.37699270967263,598056.3307305212,79.02880183633901
27.406979929861713,621888.948490142,79.91657000790023
27.43696715005079,645984.174421093,80.7896931428528
27.466954370239872,670335.7429757181,81.6244602295447
27.496941590428953,694935.045836368,82.45016134119314
27.52692881061803,719918.0726286941,84.12039289727257
27.556916030807113,745250.0631839603,84.83311801222587
27.58690325099619,770792.2492423368,85.51027660970107
27.616890471185272,796534.7693766432,86.1706980224807
27.646877691374353,822474.5180545629,86.82414560830384
27.67686491156343,848605.6111096012,87.4510926516923
27.706852131752512,874924.56162828,88.06757895464605
27.736839351941594,901420.690938072,88.64222229586085
27.76682657213067,928082.8845022656,89.17362790994541
27.796813792319753,954903.56918065,89.70224399324736
27.826801012508835,981960.2743150932,90.91778203176362
27.856788232697912,1009261.7171892906,91.16186597524079
27.886775452886994,1036635.9493823464,91.40594991871795
27.916762673076075,1064079.919844967,91.63957312176036
27.946749893265153,1091591.7761543675,91.85715652280287
27.976737113454234,1119169.3389896234,92.06776609688886
28.006724333643312,1146807.5959126102,92.27070446132274
28.036711553832394,1174506.220025189,92.46178731993058
28.066698774021475,1202262.2692441125,92.64729111697321
28.096685994210553,1230072.2566559028,92.82582108705937
28.126673214399634,1257950.1299144726,93.26656695070955
28.156660434588716,1285933.5912718056,93.3725691204482
28.186647654777794,1313949.08864672,93.47438699401296
28.216634874966875,1341993.35305783,93.56713889253429
28.246622095155956,1370064.9679465347,93.65082481601216
28.276609315345034,1398161.3181277257,93.73311597409875
28.306596535534116,1426281.6408390799,93.81122283601144
