date,prcp_mm
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.254
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.127
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0254
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,11.7094
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,1.397
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,2.7432
2022-01-26,6.096
2022-01-27,0.07619999999999999
2022-01-28,2.159
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.127
2022-02-06,0.3048
2022-02-07,0.0
2022-02-08,6.6548
2022-02-09,3.6322
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,5.6642
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0254
2022-02-17,1.2953999999999999
2022-02-18,0.0254
2022-02-19,0.0508
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,1.2953999999999999
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,55.2196
2022-03-09,23.647399999999998
2022-03-10,0.35559999999999997
2022-03-11,0.0254
2022-03-12,14.0208
2022-03-13,0.0
2022-03-14,0.0508
2022-03-15,0.0254
2022-03-16,48.894999999999996
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.1016
2022-03-24,3.937
2022-03-25,0.1016
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,43.7388
2022-04-02,35.12819999999999
2022-04-03,0.8128
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,33.274
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,5.130799999999999
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,15.2654
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.07619999999999999
2022-04-23,0.0508
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,1.7779999999999998
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,7.620000000000001
2022-05-14,1.5747999999999998
2022-05-15,0.0
2022-05-16,7.62
2022-05-17,0.0
2022-05-18,0.3048
2022-05-19,0.0
2022-05-20,5.715
2022-05-21,19.8628
2022-05-22,10.414
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0254
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.07619999999999999
2022-05-30,0.0254
2022-05-31,0.0254
2022-06-01,0.0508
2022-06-02,0.0
2022-06-03,0.07619999999999999
2022-06-04,8.1026
2022-06-05,5.1054
2022-06-06,0.0508
2022-06-07,0.0
2022-06-08,19.126199999999997
2022-06-09,0.0508
2022-06-10,9.448799999999999
2022-06-11,7.9502
2022-06-12,12.5476
2022-06-13,0.0508
2022-06-14,0.0
2022-06-15,5.334
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.35559999999999997
2022-06-19,1.5493999999999999
2022-06-20,0.0254
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,3.3019999999999996
2022-06-24,36.093399999999995
2022-06-25,0.1016
2022-06-26,5.4356
2022-06-27,4.343399999999999
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0508
2022-07-01,0.7873999999999999
2022-07-02,0.15239999999999998
2022-07-03,2.159
2022-07-04,0.0
2022-07-05,0.0254
