year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1970,5,112.5,31,31,True,dry,1970-05-01
1970,6,125.7,30,30,True,wet,1970-06-01
1970,7,229.7,31,31,True,wet,1970-07-01
1970,8,98.9,31,31,True,wet,1970-08-01
1970,9,75.7,30,30,True,wet,1970-09-01
1970,10,52.599999999999994,31,31,True,dry,1970-10-01
1970,11,20.799999999999997,30,30,True,dry,1970-11-01
1970,12,30.7,31,31,True,dry,1970-12-01
1971,1,10.1,31,31,True,dry,1971-01-01
1971,2,104.19999999999999,28,28,True,dry,1971-02-01
1971,3,82.60000000000001,31,31,True,dry,1971-03-01
1971,4,20.8,30,30,True,dry,1971-04-01
1971,5,85.7,31,31,True,dry,1971-05-01
1971,6,79.1,30,30,True,wet,1971-06-01
1971,7,101.0,31,31,True,wet,1971-07-01
1971,8,169.4,31,31,True,wet,1971-08-01
1971,9,81.4,30,30,True,wet,1971-09-01
1971,10,204.3,31,31,True,dry,1971-10-01
1971,11,28.7,30,30,True,dry,1971-11-01
1971,12,34.9,31,31,True,dry,1971-12-01
1972,1,22.3,31,31,True,dry,1972-01-01
1972,2,99.2,29,29,True,dry,1972-02-01
1972,3,31.1,31,31,True,dry,1972-03-01
1972,4,42.1,30,30,True,dry,1972-04-01
1972,5,67.1,31,31,True,dry,1972-05-01
1972,7,129.20000000000002,31,31,True,wet,1972-07-01
1972,8,218.29999999999998,31,31,True,wet,1972-08-01
1972,9,24.4,30,30,True,wet,1972-09-01
1972,10,54.2,31,31,True,dry,1972-10-01
1972,11,99.2,30,30,True,dry,1972-11-01
1973,1,124.1,31,31,True,dry,1973-01-01
1973,2,60.4,28,28,True,dry,1973-02-01
1973,3,61.400000000000006,31,31,True,dry,1973-03-01
1973,4,55.6,30,30,True,dry,1973-04-01
1973,5,111.6,31,31,True,dry,1973-05-01
1973,6,163.1,30,30,True,wet,1973-06-01
1973,7,208.3,31,31,True,wet,1973-07-01
1973,8,203.1,31,31,True,wet,1973-08-01
1973,9,295.9,30,30,True,wet,1973-09-01
1973,10,25.0,31,31,True,dry,1973-10-01
1973,11,17.8,30,30,True,dry,1973-11-01
1973,12,48.199999999999996,31,31,True,dry,1973-12-01
1974,1,8.1,31,31,True,dry,1974-01-01
1974,2,31.3,28,28,True,dry,1974-02-01
1974,3,53.3,31,31,True,dry,1974-03-01
1974,4,17.0,30,30,True,dry,1974-04-01
1974,5,63.0,31,31,True,dry,1974-05-01
1974,6,303.2,30,30,True,wet,1974-06-01
1974,7,168.3,31,31,True,wet,1974-07-01
1974,8,103.5,31,31,True,wet,1974-08-01
1974,9,107.2,30,30,True,wet,1974-09-01
1974,10,9.7,31,31,True,dry,1974-10-01
1974,11,27.000000000000004,30,30,True,dry,1974-11-01
1974,12,41.3,31,31,True,dry,1974-12-01
1975,1,19.299999999999997,31,31,True,dry,1975-01-01
1975,2,37.6,28,28,True,dry,1975-02-01
1975,3,22.5,31,31,True,dry,1975-03-01
1975,4,83.4,30,30,True,dry,1975-04-01
1975,5,192.29999999999998,31,31,True,dry,1975-05-01
1975,6,199.7,30,30,True,wet,1975-06-01
1975,7,172.5,31,31,True,wet,1975-07-01
1975,8,134.2,31,31,True,wet,1975-08-01
1975,9,233.2,30,30,True,wet,1975-09-01
1975,10,149.1,31,31,True,dry,1975-10-01
1975,11,18.4,30,30,True,dry,1975-11-01
1975,12,10.8,31,31,True,dry,1975-12-01
1976,1,5.1,31,31,True,dry,1976-01-01
1976,2,10.1,29,29,True,dry,1976-02-01
1976,3,57.5,31,31,True,dry,1976-03-01
1976,4,36.4,30,30,True,dry,1976-04-01
1976,5,195.8,31,31,True,dry,1976-05-01
1976,6,149.6,30,30,True,wet,1976-06-01
1976,7,103.9,31,31,True,wet,1976-07-01
1976,8,172.7,31,31,True,wet,1976-08-01
1976,9,114.8,30,30,True,wet,1976-09-01
1976,10,23.9,31,31,True,dry,1976-10-01
1976,11,44.900000000000006,30,30,True,dry,1976-11-01
1976,12,103.6,31,31,True,dry,1976-12-01
1977,1,41.800000000000004,31,31,True,dry,1977-01-01
1977,2,51.1,28,28,True,dry,1977-02-01
1977,3,52.4,31,31,True,dry,1977-03-01
1977,4,5.8,30,30,True,dry,1977-04-01
