time_s,level_rise_m,level_rise_cm
44.84,0.00145,0.145
44.90,0.00146,0.146
44.95,0.00146,0.146
45.01,0.00146,0.146
45.07,0.00147,0.147
45.12,0.00147,0.147
45.18,0.00147,0.147
45.24,0.00148,0.148
45.29,0.00148,0.148
45.35,0.00149,0.149
45.40,0.00149,0.149
45.46,0.00149,0.149
45.51,0.00150,0.150
45.57,0.00150,0.150
45.62,0.00150,0.150
45.68,0.00151,0.151
45.73,0.00151,0.151
45.79,0.00151,0.151
45.84,0.00152,0.152
45.90,0.00152,0.152
45.95,0.00152,0.152
46.00,0.00153,0.153
46.06,0.00153,0.153
46.11,0.00153,0.153
46.17,0.00154,0.154
46.22,0.00154,0.154
46.27,0.00154,0.154
46.33,0.00155,0.155
46.38,0.00155,0.155
46.43,0.00155,0.155
46.49,0.00155,0.155
46.54,0.00156,0.156
46.59,0.00156,0.156
46.64,0.00156,0.156
46.70,0.00157,0.157
46.75,0.00157,0.157
46.80,0.00157,0.157
46.85,0.00158,0.158
46.91,0.00158,0.158
46.96,0.00158,0.158
47.01,0.00159,0.159
47.06,0.00159,0.159
47.11,0.00159,0.159
47.17,0.00160,0.160
47.22,0.00160,0.160
47.27,0.00160,0.160
47.32,0.00161,0.161
47.37,0.00161,0.161
47.42,0.00161,0.161
47.47,0.00162,0.162
47.53,0.00162,0.162
47.58,0.00162,0.162
47.63,0.00163,0.163
47.68,0.00163,0.163
47.73,0.00163,0.163
47.78,0.00164,0.164
47.83,0.00164,0.164
47.88,0.00164,0.164
47.93,0.00164,0.164
47.98,0.00165,0.165
48.03,0.00165,0.165
48.08,0.00165,0.165
48.13,0.00166,0.166
48.18,0.00166,0.166
48.23,0.00166,0.166
48.28,0.00167,0.167
48.33,0.00167,0.167
48.38,0.00167,0.167
48.43,0.00168,0.168
48.48,0.00168,0.168
48.53,0.00168,0.168
48.58,0.00169,0.169
48.62,0.00169,0.169
48.67,0.00169,0.169
48.72,0.00169,0.169
48.77,0.00170,0.170
48.82,0.00170,0.170
48.87,0.00170,0.170
48.92,0.00171,0.171
48.97,0.00171,0.171
49.01,0.00171,0.171
49.06,0.00172,0.172
49.11,0.00172,0.172
49.16,0.00172,0.172
49.21,0.00173,0.173
49.26,0.00173,0.173
49.31,0.00173,0.173
49.35,0.00173,0.173
49.40,0.00174,0.174
49.45,0.00174,0.174
49.50,0.00174,0.174
49.55,0.00175,0.175
49.59,0.00175,0.175
49.64,0.00175,0.175
49.69,0.00176,0.176
49.74,0.00176,0.176
49.78,0.00176,0.176
49.83,0.00177,0.177
49.88,0.00177,0.177
49.93,0.00177,0.177
49.97,0.00177,0.177
50.02,0.00178,0.178
50.07,0.00178,0.178
50.12,0.00178,0.178
50.16,0.00179,0.179
50.21,0.00179,0.179
50.26,0.00179,0.179
50.31,0.00180,0.180
50.35,0.00180,0.180
50.40,0.00180,0.180
50.45,0.00181,0.181
50.49,0.00181,0.181
50.54,0.00181,0.181
50.59,0.00181,0.181
50.64,0.00182,0.182
50.68,0.00182,0.182
50.73,0.00182,0.182
50.78,0.00183,0.183
50.82,0.00183,0.183
50.87,0.00183,0.183
50.92,0.00184,0.184
50.96,0.00184,0.184
51.01,0.00184,0.184
51.06,0.00184,0.184
51.10,0.00185,0.185
51.15,0.00185,0.185
51.20,0.00185,0.185
51.24,0.00186,0.186
51.29,0.00186,0.186
51.34,0.00186,0.186
51.38,0.00187,0.187
51.43,0.00187,0.187
51.48,0.00187,0.187
51.52,0.00188,0.188
51.57,0.00188,0.188
51.62,0.00188,0.188
51.66,0.00188,0.188
51.71,0.00189,0.189
51.75,0.00189,0.189
51.80,0.00189,0.189
51.85,0.00190,0.190
51.89,0.00190,0.190
51.94,0.00190,0.190
51.99,0.00191,0.191
52.03,0.00191,0.191
52.08,0.00191,0.191
52.13,0.00191,0.191
52.17,0.00192,0.192
52.22,0.00192,0.192
52.26,0.00192,0.192
52.31,0.00193,0.193
52.36,0.00193,0.193
52.40,0.00193,0.193
52.45,0.00194,0.194
52.49,0.00194,0.194
52.54,0.00194,0.194
52.59,0.00195,0.195
52.63,0.00195,0.195
52.68,0.00195,0.195
52.72,0.00195,0.195
52.77,0.00196,0.196
52.82,0.00196,0.196
52.86,0.00196,0.196
52.91,0.00197,0.197
52.95,0.00197,0.197
53.00,0.00197,0.197
53.05,0.00198,0.198
53.09,0.00198,0.198
53.14,0.00198,0.198
53.18,0.00198,0.198
53.23,0.00199,0.199
53.28,0.00199,0.199
53.32,0.00199,0.199
53.37,0.00200,0.200
53.41,0.00200,0.200
53.46,0.00200,0.200
53.50,0.00201,0.201
53.55,0.00201,0.201
53.60,0.00201,0.201
53.64,0.00202,0.202
53.69,0.00202,0.202
53.73,0.00202,0.202
53.78,0.00202,0.202
53.82,0.00203,0.203
53.87,0.00203,0.203
53.92,0.00203,0.203
53.96,0.00204,0.204
54.01,0.00204,0.204
54.05,0.00204,0.204
54.10,0.00205,0.205
54.14,0.00205,0.205
54.19,0.00205,0.205
54.23,0.00206,0.206
54.28,0.00206,0.206
54.33,0.00206,0.206
54.37,0.00206,0.206
54.42,0.00207,0.207
54.46,0.00207,0.207
54.51,0.00207,0.207
54.55,0.00208,0.208
54.60,0.00208,0.208
54.64,0.00208,0.208
54.69,0.00209,0.209
54.73,0.00209,0.209
54.78,0.00209,0.209
54.83,0.00209,0.209
54.87,0.00210,0.210
54.92,0.00210,0.210
54.96,0.00210,0.210
55.01,0.00211,0.211
55.05,0.00211,0.211
55.10,0.00211,0.211
55.14,0.00212,0.212
