time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,lake_rise_m,mean_depth_m,outflow_south_cms,outflow_south_cfs,outflow_total_cms,outflow_total_cfs
1124.6666666666665,5.311422222222222,2.0221124486852204,0.5175,0.0,0.06711830198764801,0.006215915782377124,0.21951320107991343,0.013748092974310566,0.4855097789598854
1125.0,5.334,2.0336989564384567,0.5175,0.0,0.06713852286338806,0.00626219087280333,0.22114739201578779,0.013836813077432453,0.48864290278560385
1125.3333333333335,5.356577777777778,2.045305109277251,0.5175,0.0,0.06715895235538483,0.006281094392761588,0.22181496415205768,0.013915102867940732,0.4914076832504666
1125.6666666666667,5.379155555555554,2.0569319303831435,0.52,0.0,0.06709743291139603,0.006293918704614043,0.22226785087783357,0.014000194514665054,0.494412669227042
1126.0,5.401733333333333,2.0685790104835178,0.52,0.0,0.0671185851097107,0.006298025255091488,0.2224128724759794,0.014082672696531517,0.4973253614762016
1126.3333333333333,5.424311111111111,2.080244507851603,0.52,0.0,0.0671398714184761,0.00629478192422539,0.2222983352194424,0.01398967759541847,0.4940412673789247
1126.6666666666667,5.446888888888888,2.091930468850478,0.5225,0.0,0.06707923114299774,0.006338952807709575,0.22385821671842132,0.014245124420995126,0.5030622953901166
1127.0,5.469466666666666,2.1036379166616825,0.5225,0.0,0.06710093468427658,0.006289064767770469,0.2220964355543838,0.014247516064642696,0.5031467555680375
1127.3333333333333,5.492044444444444,2.1153670559215243,0.5225,0.0,0.06712260842323303,0.006365752778947353,0.22480464966269212,0.014288501297414768,0.5045941367678134
1127.6666666666667,5.514622222222222,2.1271201376293902,0.5225,0.0,0.06714419275522232,0.00641841790638864,0.22666450283874293,0.014528910128319694,0.5130841025085715
1128.0,5.5372,2.1388983896031277,0.5225,0.0,0.06716564297676086,0.006379910046234727,0.22530460930976554,0.014520320205519965,0.512780751961876
1128.3333333333335,5.559777777777777,2.1507003793885815,0.5225,0.0,0.06718691438436508,0.006412497605197132,0.22645542917825515,0.014524220468956628,0.5129184885950626
1128.6666666666665,5.582355555555554,2.162527130167291,0.5225,0.0,0.0672079548239708,0.0064435426611453295,0.227551776015549,0.014737719920958625,0.5204581576926776
1129.0,5.604933333333332,2.1743808929386432,0.5225,0.0,0.06722879409790039,0.006422362057492137,0.22680378935171758,0.01474330754717812,0.5206554830363311
