time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,mean_depth_m,outflow_total_cms,outflow_total_cfs,outflow_south_cms,outflow_south_cfs
818.6666666666666,3.4487555555555556,1.357391818146425,0.8,0.06409337371587753,0.036836084359492816,1.300855268330181,0.010638758540153503,0.37570456621795895
819.0,3.4543999999999997,1.3597526049125008,0.8025,0.06408481299877167,0.03699128041262156,1.3063359703876067,0.010732820956036448,0.3790263522161404
819.3333333333333,3.4600444444444447,1.3621138009511924,0.805,0.06407631188631058,0.037090756018187676,1.3098489215554925,0.010736457770690322,0.37915478523459756
819.6666666666667,3.465688888888889,1.364474690035422,0.8075,0.06406807899475098,0.03703754190496511,1.3079696811112715,0.010678956750780344,0.3771241539667826
820.0,3.471333333333333,1.3668354768014979,0.8075,0.06410349905490875,0.03716336705451795,1.312413158520185,0.010825928766280413,0.38231442660256293
820.3333333333334,3.476977777777778,1.3691968774764973,0.8125,0.06405209004878998,0.03709928449779909,1.3101501022544255,0.01072712242603302,0.3788251103386283
820.6666666666666,3.482622222222222,1.3715595059693442,0.8125,0.06408773362636566,0.03731047638439122,1.3176082803718607,0.010807020589709282,0.3816466900194064
821.0,3.488266666666667,1.373919985780958,0.8150000000000001,0.0640801265835762,0.037243849747028435,1.3152553806613851,0.010817659785971045,0.3820224100436317
821.3333333333333,3.4939111111111107,1.3762817957285733,0.8150000000000001,0.06411582976579666,0.03734415565077143,1.3187976535602979,0.010794465197250247,0.3812033001013333
821.6666666666666,3.4995555555555553,1.3786435033580346,0.8175,0.06410826742649078,0.037474707426099485,1.3234080503404755,0.010874910512939095,0.38404420229129027
822.0,3.5052,1.3810055179419578,0.8175,0.06414394080638885,0.03744008725789172,1.3221854494862688,0.010875865118578076,0.38407791390304924
822.3333333333334,3.5108444444444444,1.3833667139806494,0.8200000000000001,0.06413641571998596,0.037550446509158064,1.3260827533369643,0.010857238667085767,0.3834201263565338
822.6666666666666,3.516488888888888,1.3857284216101107,0.8250000000000001,0.06408628821372986,0.03758444281629636,1.3272833227246612,0.010924586094915867,0.38579848056612537
823.0,3.5221333333333336,1.3880918686481891,0.8250000000000001,0.06412186473608017,0.0375914294818358,1.3275300547221869,0.010890114353969693,0.38458112137613354
823.3333333333333,3.5277777777777772,1.3904527577324188,0.8275,0.06411469727754593,0.03775338621608171,1.3332495082050608,0.01097255852073431,0.387492612392176
823.6666666666666,3.5334222222222222,1.3928160001341894,0.8275,0.06415030360221863,0.037760068986472106,1.3334855082365666,0.010947096161544323,0.38659341681608933
824.0,3.5390666666666664,1.3951777077636507,0.8275,0.06418589502573013,0.03779664773674085,1.3347772758286822,0.010973355965688825,0.38752077392151113
824.3333333333334,3.5447111111111114,1.3975404385746515,0.8275,0.06422147899866104,0.037873914052397595,1.3375059125862054,0.011004926636815071,0.3886356827011332
824.6666666666666,3.5503555555555555,1.3999023508404207,0.8275,0.06425704061985016,0.03791958844431065,1.3391188900342974,0.011003098916262388,0.38857113729813136
825.0,3.5559999999999996,1.402266002514807,0.8275,0.06429261714220047,0.03798841914658624,1.3415496256359492,0.011025145649909973,0.38934971108287575
825.3333333333334,3.5616444444444446,1.404628426371346,0.8300000000000001,0.06428507715463638,0.03808111126545555,1.344823020006183,0.0110754300840199,0.3911254907881376
825.6666666666666,3.5672888888888887,1.4069910548641928,0.8300000000000001,0.0643206313252449,0.03815216342104577,1.347332205565205,0.011050605680793524,0.39024882443551906
826.0,3.572933333333333,1.4093538879933476,0.8325,0.06431309133768082,0.03811791745874871,1.346122819680473,0.011104961158707738,0.3921683718314162
826.3333333333334,3.578577777777778,1.4117179489403497,0.835,0.06430570781230927,0.03822914202601169,1.350050681905995,0.011105956509709358,0.3922035223534331
826.6666666666667,3.5842222222222215,1.4140802704787347,0.84,0.06425590813159943,0.03832764556591428,1.353529304866593,0.011141020804643631,0.39344180740974843
