time_s,level_rise_m,level_rise_cm
35.16,0.00087,0.087
35.23,0.00087,0.087
35.30,0.00087,0.087
35.37,0.00088,0.088
35.43,0.00088,0.088
35.50,0.00089,0.089
35.57,0.00089,0.089
35.64,0.00089,0.089
35.71,0.00090,0.090
35.77,0.00090,0.090
35.84,0.00090,0.090
35.91,0.00091,0.091
35.98,0.00091,0.091
36.04,0.00091,0.091
36.11,0.00092,0.092
36.18,0.00092,0.092
36.25,0.00092,0.092
36.32,0.00093,0.093
36.38,0.00093,0.093
36.45,0.00093,0.093
36.52,0.00094,0.094
36.59,0.00094,0.094
36.65,0.00094,0.094
36.72,0.00095,0.095
36.79,0.00095,0.095
36.86,0.00096,0.096
36.92,0.00096,0.096
36.99,0.00096,0.096
37.06,0.00097,0.097
37.13,0.00097,0.097
37.20,0.00097,0.097
37.26,0.00098,0.098
37.33,0.00098,0.098
37.40,0.00098,0.098
37.47,0.00099,0.099
37.53,0.00099,0.099
37.60,0.00099,0.099
37.67,0.00100,0.100
37.74,0.00100,0.100
37.81,0.00101,0.101
37.87,0.00101,0.101
37.94,0.00101,0.101
38.01,0.00102,0.102
38.08,0.00102,0.102
38.14,0.00102,0.102
38.21,0.00103,0.103
38.28,0.00103,0.103
38.34,0.00103,0.103
38.41,0.00104,0.104
38.48,0.00104,0.104
38.54,0.00104,0.104
38.61,0.00105,0.105
38.67,0.00105,0.105
38.74,0.00105,0.105
38.80,0.00106,0.106
38.87,0.00106,0.106
38.93,0.00107,0.107
39.00,0.00107,0.107
39.06,0.00107,0.107
39.13,0.00108,0.108
39.19,0.00108,0.108
39.26,0.00108,0.108
39.32,0.00109,0.109
39.39,0.00109,0.109
39.45,0.00109,0.109
39.52,0.00110,0.110
39.58,0.00110,0.110
39.65,0.00110,0.110
39.71,0.00111,0.111
39.78,0.00111,0.111
39.84,0.00111,0.111
39.91,0.00112,0.112
39.97,0.00112,0.112
40.04,0.00112,0.112
40.10,0.00113,0.113
40.17,0.00113,0.113
40.23,0.00113,0.113
40.30,0.00114,0.114
40.36,0.00114,0.114
40.43,0.00114,0.114
40.49,0.00115,0.115
40.55,0.00115,0.115
40.62,0.00116,0.116
40.68,0.00116,0.116
40.75,0.00116,0.116
40.81,0.00117,0.117
40.87,0.00117,0.117
40.94,0.00117,0.117
41.00,0.00118,0.118
41.06,0.00118,0.118
41.12,0.00118,0.118
41.19,0.00119,0.119
41.25,0.00119,0.119
41.31,0.00119,0.119
41.37,0.00120,0.120
41.43,0.00120,0.120
41.50,0.00120,0.120
41.56,0.00121,0.121
41.62,0.00121,0.121
41.68,0.00121,0.121
41.74,0.00122,0.122
41.80,0.00122,0.122
41.86,0.00122,0.122
41.92,0.00123,0.123
41.98,0.00123,0.123
42.04,0.00123,0.123
42.10,0.00124,0.124
42.16,0.00124,0.124
42.22,0.00124,0.124
42.28,0.00124,0.124
42.34,0.00125,0.125
42.40,0.00125,0.125
42.46,0.00125,0.125
42.52,0.00126,0.126
42.58,0.00126,0.126
42.64,0.00126,0.126
42.70,0.00127,0.127
42.76,0.00127,0.127
42.82,0.00127,0.127
42.87,0.00128,0.128
42.93,0.00128,0.128
42.99,0.00128,0.128
43.05,0.00129,0.129
43.11,0.00129,0.129
43.16,0.00129,0.129
43.22,0.00130,0.130
43.28,0.00130,0.130
43.34,0.00130,0.130
43.39,0.00131,0.131
43.45,0.00131,0.131
43.51,0.00131,0.131
43.57,0.00131,0.131
43.62,0.00132,0.132
43.68,0.00132,0.132
43.74,0.00132,0.132
43.79,0.00133,0.133
43.85,0.00133,0.133
43.91,0.00133,0.133
