date,cloud_pct,tile,status
20211224,3.710483,17RMM,ok
20211229,0.48432,17RMM,ok
20220103,10.243511,17RMM,ok
20220108,5.742151,17RMM,ok
20220113,15.358828,17RMM,ok
20220118,0.542741,17RMM,ok
20220202,11.260404,17RMM,ok
20220212,1.044437,17RMM,ok
20220222,15.514275,17RMM,ok
20220304,1.769372,17RMM,ok
20220329,0.005212,17RMM,skipped
20220403,18.008111,17RMM,ok
20220408,1.921964,17RMM,skipped
20220508,15.492842,17RMM,ok
20220607,10.48898,17RMM,ok
20220722,16.248861,17RMM,ok
20220727,8.994788,17RMM,skipped
20220801,18.425617,17RMM,ok
20220930,0.001224,17RMM,skipped
20221005,18.366744,17RMM,ok
20221025,8.632421,17RMM,ok
20221129,1.724212,17RMM,ok
20221204,1.519842,17RMM,ok
20221209,0.979449,17RMM,ok
20221219,10.088462,17RMM,ok
20221229,0.981514,17RMM,ok
20230108,17.812477,17RMM,ok
20230207,11.427049,17RMM,ok
20230217,8.992847,17RMM,ok
20230222,2.323727,17RMM,ok
20230309,6.786036,17RMM,ok
20230314,0.789408,17RMM,skipped
20230324,3.390969,17RMM,ok
20230418,0.731079,17RMM,ok
20230503,0.019117,17RMM,skipped
20230508,0.102465,17RMM,ok
20230528,12.727897,17RMM,ok
20230627,15.555513,17RMM,ok
20230722,17.982943,17RMM,ok
20230826,15.514679,17RMM,ok
20230910,14.485277,17RMM,ok
20230915,19.521399,17RMM,ok
20231015,1.067807,17RMM,skipped
20231020,3.628631,17RMM,ok
20231119,0.001632,17RMM,ok
20231129,3.284621,17RMM,ok
20231209,15.734248,17RMM,ok
20231219,0.572662,17RMM,ok
20240202,3.040991,17RMM,ok
20240207,0.088477,17RMM,skipped
20240212,16.12471,17RMM,ok
20240222,2.997481,17RMM,ok
20240227,9.117019,17RMM,ok
20240407,2.83077,17RMM,ok
20240412,0.391001,17RMM,ok
20240502,17.164761,17RMM,ok
20240527,1.033447,17RMM,ok
20240726,9.270752,17RMM,skipped
20241014,0.019983,17RMM,ok
20241024,0.791859,17RMM,skipped
20241123,0.016772,17RMM,ok
20241203,0.003663,17RMM,ok
20250112,0.002223,17RMM,ok
20250206,7.018639,17RMM,ok
20250221,17.432287,17RMM,ok
20250226,0.005043,17RMM,ok
20250303,3.807466,17RMM,ok
20250308,18.09479,17RMM,ok
20250313,0.666847,17RMM,ok
20250318,5.850246,17RMM,ok
20250412,0.021218,17RMM,ok
20250417,0.005816,17RMM,ok
20250517,15.185533,17RMM,ok
20250601,7.004662,17RMM,ok
20250701,7.879529,17RMM,ok
20250726,4.965843,17RMM,ok
20250728,18.17921,17RMM,ok
20250919,13.778034,17RMM,ok
20250924,13.72654,17RMM,ok
20251014,4.395314,17RMM,ok
20251019,15.48529,17RMM,ok
20251024,9.941935,17RMM,ok
20251103,0.285195,17RMM,ok
20251105,16.011438,17RMM,ok
20251108,2.021321,17RMM,ok
20251113,0.003603,17RMM,ok
20251118,0.002661,17RMM,ok
20251125,16.7147,17RMM,ok
20251128,13.789348,17RMM,ok
20251223,16.390042,17RMM,ok
20251228,11.072837,17RMM,ok
20260127,11.956639,17RMM,ok
20260206,0.008248,17RMM,ok
20260221,0.006247,17RMM,ok
20260328,4.011175,17RMM,ok
20260412,12.725237,17RMM,ok
20260417,5.779779,17RMM,ok
20260424,13.042437,17RMM,ok
20260507,1.438101,17RMM,ok
