date,cloud_pct_scl,cloud_pct_s2cloudless,cloud_pct_combined,cloud_pixels,total_pixels,cloud_mask_path
20180429,0.13,0.0,0.12,60,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180429.tif
20180509,0.51,0.0,0.49,242,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180509.tif
20180524,28.87,1.54,27.91,13818,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180524.tif
20180608,1.45,0.0,1.41,696,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180608.tif
20180817,1.01,0.0,0.97,482,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180817.tif
20180916,3.32,0.0,3.21,1588,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180916.tif
20180926,22.53,0.32,21.8,10794,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180926.tif
20181016,15.72,0.65,15.2,7526,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20181016.tif
20181021,0.73,0.0,0.71,350,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20181021.tif
20181031,0.9,0.0,0.87,430,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20181031.tif
20181205,0.71,0.0,0.69,342,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20181205.tif
20190129,1.0,0.0,0.97,480,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190129.tif
20190208,0.97,0.0,0.93,462,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190208.tif
20190325,10.62,0.08,10.27,5082,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190325.tif
20190424,0.11,0.0,0.11,54,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190424.tif
20190429,0.61,0.0,0.59,290,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190429.tif
20190519,17.21,0.76,16.67,8253,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190519.tif
20190524,0.14,0.0,0.14,68,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190524.tif
20190529,0.29,0.0,0.28,138,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190529.tif
20190623,27.12,0.0,26.21,12975,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190623.tif
20190827,1.39,0.0,1.35,666,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20190827.tif
20191011,0.99,0.0,0.96,474,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191011.tif
20191110,1.17,0.0,1.13,560,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191110.tif
20191120,0.97,0.0,0.93,462,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191120.tif
20191130,1.11,0.0,1.07,530,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191130.tif
20191210,26.84,1.24,25.97,12857,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191210.tif
20191215,1.17,0.0,1.14,562,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191215.tif
20191225,2.52,0.0,2.44,1206,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20191225.tif
20200109,1.92,0.0,1.86,920,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200109.tif
20200203,0.92,0.0,0.89,442,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200203.tif
20200208,0.88,0.0,0.85,422,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200208.tif
20200223,30.58,0.0,29.55,14630,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200223.tif
20200228,0.73,0.0,0.7,348,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200228.tif
20200314,0.29,0.0,0.28,138,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200314.tif
20200324,35.1,6.41,34.12,16890,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200324.tif
20200329,0.64,0.0,0.62,308,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200329.tif
20200403,0.73,0.0,0.71,350,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200403.tif
20200408,0.12,0.0,0.11,56,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200408.tif
20200503,0.52,0.0,0.5,248,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200503.tif
20200508,0.44,0.0,0.42,210,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200508.tif
20200622,5.86,0.0,5.67,2806,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200622.tif
20200627,66.92,0.0,64.68,32020,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200627.tif
20200712,31.78,3.33,30.72,15209,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200712.tif
20200727,21.53,6.14,20.93,10361,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200727.tif
20200801,1.43,0.0,1.38,684,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200801.tif
20200905,0.81,0.0,0.78,386,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200905.tif
20200925,25.82,0.9,24.96,12355,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20200925.tif
20201015,32.61,3.48,31.57,15628,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201015.tif
20201030,1.16,0.0,1.12,554,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201030.tif
20201124,1.0,0.0,0.97,478,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201124.tif
20201209,1.12,0.0,1.09,538,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201209.tif
20201219,32.83,0.02,31.73,15710,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201219.tif
20201229,1.32,0.0,1.28,632,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20201229.tif
20210118,0.92,0.0,0.89,442,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210118.tif
20210128,1.09,0.0,1.05,520,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210128.tif
20210202,0.59,0.0,0.57,284,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210202.tif
20210222,5.83,0.0,5.64,2790,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210222.tif
20210227,37.74,13.87,36.67,18154,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210227.tif
20210304,0.8,0.0,0.78,384,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210304.tif
20210309,0.79,0.0,0.77,380,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210309.tif
20210314,49.91,0.0,48.24,23880,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210314.tif
20210319,0.89,0.0,0.86,428,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210319.tif
20210324,0.73,0.0,0.7,348,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210324.tif
20210408,0.29,0.0,0.28,140,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210408.tif
20210413,0.54,0.0,0.52,258,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210413.tif
20210428,0.57,0.0,0.55,274,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210428.tif
20210503,0.36,0.0,0.35,174,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210503.tif
20210508,0.43,0.0,0.41,204,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210508.tif
